id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1031534,Matej,Liska,Viktoria PlzeH U17,-,,,-
1255872,Anis,Fiche,Strasbourg U19,-,Agent is known - Player under 18,,30-Jun-26
1149110,Kamall,Wilson,,-,,,-
825593,Mark,Barber,Cheltenham Town U18,-,,,-
1181682,Sam,Lim,,-,,,-
1130001,Mohamed Abdullah,Nawsar,,-,,,-
1212409,Sanad,Jaarah,Al Salt, ¬125k,,,-
1033248,Alessio,Berti,,-,LineA S.M.,12150,-
1016170,Wojciech,Smuda,,-,,,-
782095,Ramazan,Setyukov,,-,,,-
1158500,Juan Costa,Carvalho,Independência,-,,,-
1246935,Ian ,Longno,,-,,,-
1157337,Lewis ,Burns,, ¬10k,,,31-May-25
967348,Mohmmed  Xavier,Babtain,Ohod, ¬75k,,,-
1194091,Gomolemo,Khoto,Orbit College,-,,,-
1194010,Siyabulela,Mabele,Orbit College,-,,,-
1193957,Matimu,Tshabalala,Leandra FC,-,,,-
1088488,Josh ,Bernard,Barry Town United,-,,,30-Jun-25
1244627,Henry ,Donovan,West Alabama Tigers,-,,,-
1163857,Toby,Hayley,Plymouth Argyle U18,-,,,-
1165498,Jay,McGarva,Bonnyrigg Rose Athletic,-,Start Sports,13505,31-May-25
1210228,Carrick,McEvoy,Dumbarton,-,Agent is known - Player under 18,,-
894083,Francisco Joaquín,Plaza Molina,Deportes Limache,-,,,31-Dec-26
1053366,Vasile ,Sula, Sperana Drochia,-,,,-
921743,Nikita,Zverikin,Saksan,-,,,-
1166653,Dylan,Judelson,Orlando City B,-,,,-
1246640,Khalifa Ababacar ,Sylla,Grasse,-,CNS,9863,-
1176895,Juan Pablo,Serrano,Juventud Antoniana,-,,,31-Dec-25
786618,Mactar,Niakhe,,-,,,-
1160155,Akmal,Ali,,-,,,-
1270373,Giannis,Xanthopoulos,Panathinaikos U19,-,,,-
1025082,Jaime,Bueno Prieto,Atlético de Lugones,-,,,-
